locus_tag	GO_ID	type
BSU28800	GO:0019568	process
BSU28800	GO:0019568	process
BSU28800	GO:0005996	process
BSU28800	GO:0019568	process
BSU28800	GO:0019568	process
BSU28800	GO:0019569	process
BSU28800	GO:0019569	process
BSU28800	GO:0019568	process
BSU28800	GO:0019568	process
BSU28800	GO:0005996	process
BSU28800	GO:0005996	process
BSU28800	GO:0005996	process
BSU28800	GO:0019569	process
BSU28800	GO:0019569	process
BSU28800	GO:0019569	process
BSU28800	GO:0005996	process
BSU28800	GO:0005996	process
BSU28800	GO:0005996	process
BSU28790	GO:0019568	process
BSU28790	GO:0019568	process
BSU28790	GO:0019569	process
BSU28790	GO:0046835	process
BSU28790	GO:0005975	process
BSU28790	GO:0019569	process
BSU28790	GO:0019568	process
BSU28790	GO:0019569	process
BSU28790	GO:0046835	process
BSU28790	GO:0019569	process
BSU28790	GO:0019568	process
BSU28790	GO:0019569	process
BSU28790	GO:0005975	process
BSU28790	GO:0005975	process
BSU28790	GO:0005975	process
BSU28790	GO:0005975	process
BSU28790	GO:0019568	process
BSU28790	GO:0046835	process
BSU28790	GO:0046835	process
BSU28790	GO:0019321	process
BSU28790	GO:0005975	process
BSU28790	GO:0019321	process
BSU28790	GO:0019321	process
BSU28790	GO:0019569	process
BSU28790	GO:0019568	process
BSU28790	GO:0019321	process
BSU28790	GO:0019568	process
BSU28790	GO:0046835	process
BSU28790	GO:0019321	process
BSU28790	GO:0046835	process
BSU28790	GO:0046835	process
BSU28790	GO:0005975	process
BSU28790	GO:0019321	process
BSU28790	GO:0019569	process
BSU28790	GO:0046835	process
BSU28780	GO:0005996	process
BSU28780	GO:0005996	process
BSU28780	GO:0019572	process
BSU28780	GO:0019572	process
BSU28780	GO:0019568	process
BSU28780	GO:0019323	process
BSU28780	GO:0019572	process
BSU28780	GO:0019568	process
BSU28780	GO:0005996	process
BSU28780	GO:0019569	process
BSU28780	GO:0005996	process
BSU28780	GO:0019572	process
BSU28780	GO:0019568	process
BSU28780	GO:0019323	process
BSU28780	GO:0019569	process
BSU28780	GO:0019323	process
BSU28780	GO:0019568	process
BSU33960	GO:0055085	process
BSU33960	GO:0055085	process
BSU33960	GO:1904659	process
BSU33960	GO:1904659	process
BSU33960	GO:1904659	process
BSU33960	GO:0055085	process
BSU33960	GO:0055085	process
BSU28750	GO:0055085	process
BSU28740	GO:0055085	process
BSU28740	GO:0055085	process
BSU28740	GO:0055085	process
BSU28730	GO:0055085	process
BSU28730	GO:0055085	process
BSU28730	GO:0055085	process
BSU28730	GO:0055085	process
BSU28730	GO:0055085	process
BSU33970	GO:0006351	process
BSU33970	GO:0006355	process
BSU33970	GO:0006351	process
BSU33970	GO:0006351	process
BSU33970	GO:0006351	process
BSU33970	GO:0006355	process
BSU33970	GO:0006355	process
BSU33970	GO:0006355	process
BSU33970	GO:0006355	process
BSU37290	GO:0006351	process
BSU11210	GO:0006526	process
BSU11210	GO:0042450	process
BSU11210	GO:0042450	process
BSU11210	GO:0006526	process
BSU11210	GO:0008652	process
BSU11210	GO:0042450	process
BSU11210	GO:0006526	process
BSU11210	GO:0008652	process
BSU11210	GO:0008652	process
BSU11210	GO:0008652	process
BSU11210	GO:0008652	process
BSU11210	GO:0008652	process
BSU11210	GO:0006526	process
BSU11210	GO:0006526	process
BSU11210	GO:0042450	process
BSU11210	GO:0006526	process
BSU11210	GO:0006526	process
BSU11210	GO:0042450	process
BSU11210	GO:0006526	process
BSU11210	GO:0042450	process
BSU11210	GO:0006526	process
BSU11210	GO:0042450	process
BSU11210	GO:0042450	process
BSU11210	GO:0008652	process
BSU11210	GO:0008652	process
BSU11210	GO:0006526	process
BSU11210	GO:0008652	process
BSU11210	GO:0042450	process
BSU11190	GO:0006526	process
BSU11190	GO:0008652	process
BSU11190	GO:0008652	process
BSU11190	GO:0008652	process
BSU11190	GO:0006526	process
BSU11190	GO:0008652	process
BSU11190	GO:0006526	process
BSU11190	GO:0006526	process
BSU11190	GO:0006526	process
BSU11190	GO:0006526	process
BSU11190	GO:0008652	process
BSU11190	GO:0008652	process
BSU11190	GO:0008652	process
BSU11190	GO:0006526	process
BSU11190	GO:0006526	process
BSU11190	GO:0008652	process
BSU11190	GO:0006526	process
BSU11190	GO:0008652	process
BSU11190	GO:0006526	process
BSU11220	GO:0006525	process
BSU11220	GO:0008652	process
BSU11220	GO:0006526	process
BSU11220	GO:0006525	process
BSU11220	GO:0006526	process
BSU11220	GO:0006526	process
BSU11220	GO:0008652	process
BSU11220	GO:0008652	process
BSU11220	GO:0006526	process
BSU11220	GO:0006526	process
BSU11220	GO:0006525	process
BSU11220	GO:0006525	process
BSU11220	GO:0006526	process
BSU11220	GO:0008652	process
BSU11220	GO:0006526	process
BSU11220	GO:0008652	process
BSU11220	GO:0006525	process
BSU11220	GO:0006525	process
BSU11220	GO:0008652	process
BSU11220	GO:0006525	process
BSU11220	GO:0006525	process
BSU11220	GO:0006525	process
BSU11220	GO:0006526	process
BSU11220	GO:0006526	process
BSU11220	GO:0008652	process
BSU11220	GO:0008652	process
BSU11220	GO:0008652	process
BSU11250	GO:0006526	process
BSU11250	GO:0019240	process
BSU11250	GO:0006520	process
